year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.225352,cadillac,'m-sedan deville',0.4,'8 cylinders',gas,0.0121,1,automatic,0.667,full-size,sedan,blue,13995
0.225352,ford,m-thunderbird,0.6,'8 cylinders',gas,0.0039,1,automatic,0.667,mid-size,coupe,blue,17000
0.225352,ford,m-thunderbird,0.6,'8 cylinders',gas,0.007137,1,automatic,0.667,full-size,coupe,red,18800
0.225352,dodge,m-charger,0.6,'8 cylinders',gas,0.0038,1,manual,0.667,full-size,coupe,black,28000
0.225352,chevrolet,m-chevelle,0.4,'8 cylinders',gas,0.001,1,manual,0.667,full-size,coupe,red,28500
0.225352,chevrolet,'m-el camino',,'8cylinders',gas,0.0009,1,manual,0.667,full-size,coupe,white,29900
0.225352,ford,'m-0.2lane 500',0.4,'8 cylinders',gas,0.012346,1,automatic,0.667,mid-size,sedan,custom,30000
0.225352,chevrolet,m-nova,0.6,'8 cylinders',gas,0.0024,1,automatic,0.667,mid-size,coupe,custom,32000
0.225352,ford,'m-mustang convertible',0.6,'8 cylinders',gas,0.0099,1,automatic,0.667,mid-size,convertible,blue,38950
0.225352,ford,'m-mustang fastback',0.6,'8 cylinders',gas,0.0087,1,manual,0.667,full-size,hatchback,white,48000
0.239437,ford,m-thunderbird,0.4,'8 cylinders',gas,0.0055,1,automatic,0.667,full-size,coupe,white,4200
0.239437,pontiac,'m-grand prix',0.2,'8 cylinders',gas,0.0075,1,automatic,0.667,full-size,coupe,blue,4500
0.239437,chevrolet,m-corvair,0.4,'6 cylinders',gas,0.009,1,automatic,0.667,compact,coupe,blue,5000
0.239437,mercury,m-cougar,0.4,'8 cylinders',gas,0.0067,1,automatic,0.667,compact,coupe,green,6200
0.239437,chevrolet,m-c20,0.4,'8 cylinders',gas,0.0001,1,manual,0.667,full-size,pickup,green,7000
0.239437,ford,'m-0.2lane 500',0.4,'8 cylinders',gas,0.01,1,manual,0.667,mid-size,coupe,blue,7500
0.239437,volkswagen,m-beetle,0.4,'4 cylinders',gas,0.00425,1,manual,0.667,compact,coupe,blue,8500
0.239437,ford,m-mustang,0.2,'8 cylinders',gas,0.007,1,other,0.667,full-size,convertible,red,15000
0.239437,ford,'m-galaxie 500',0.6,'8 cylinders',gas,0.0035,1,automatic,0.667,full-size,convertible,red,15000
0.239437,ford,m-f100,0.6,'6 cylinders',gas,0.001265,1,automatic,0.667,full-size,truck,custom,18000
0.239437,dodge,'m-coronet 440',0.4,'8 cylinders',gas,0.0119,1,automatic,0.667,full-size,convertible,red,27000
0.239437,pontiac,m-gto,0.6,'8 cylinders',gas,0.0104,1,automatic,0.667,full-size,coupe,red,45000
0.239437,ford,m-bronco,0.6,'8 cylinders',gas,0.00008,0.8,automatic,1,full-size,offroad,red,60000
0.239437,porsche,m-911,0.6,'6 cylinders',gas,0.00847,1,manual,0.667,sub-compact,coupe,black,65900
0.253521,mercury,m-montego,0.4,'8 cylinders',gas,0.004343,1,automatic,0.667,mid-size,coupe,yellow,1500
0.253521,chevrolet,m-stawagon,0.4,'8 cylinders',gas,0.012288,1,automatic,0.667,full-size,wagon,white,2200
0.253521,ford,'m-galaxie 500',0.4,'8 cylinders',gas,0.001234,1,automatic,0.667,full-size,coupe,grey,6000
0.253521,chrysler,m-300,0.4,'8 cylinders',gas,0,1,automatic,0.667,full-size,coupe,green,6250
0.253521,ford,m-f100,0.4,'8 cylinders',gas,0.019685,1,manual,0.667,full-size,truck,grey,6500
0.253521,mercedes-benz,'m-benz 200d',0.4,'4 cylinders',diesel,0.0026,1,automatic,0.667,full-size,sedan,custom,7200
0.253521,mercury,m-cougar,0.2,'8 cylinders',gas,0.0142,1,automatic,0.667,mid-size,coupe,blue,8000
0.253521,chevrolet,'m-corvair monza',0.4,'6 cylinders',gas,0.0055,1,automatic,0.667,compact,sedan,green,8000
0.253521,chevrolet,m-truck,0.4,'8 cylinders',gas,0.0009,1,automatic,0.667,full-size,truck,black,8500
0.253521,chevrolet,m-pick-up,0.4,'8 cylinders',gas,0.0009,1,automatic,0.667,full-size,truck,black,8500
0.253521,ford,'m-0.2lane ranchero',0.6,'8 cylinders',gas,0.01,1,automatic,0.333,compact,other,green,8500
0.253521,chevrolet,'m-c20 panel',0.4,'6 cylinders',gas,0.00028,1,manual,0.667,full-size,other,custom,8500
0.253521,chevrolet,'m-c10 pickup',0.6,'8 cylinders',gas,0.0039,1,automatic,0.667,full-size,pickup,black,8995
0.253521,ford,m-torino,0.2,'8 cylinders',gas,0.0028,1,automatic,0.667,full-size,sedan,black,10000
0.253521,chrysler,m-1port,0.4,'8 cylinders',gas,0.00921,1,automatic,0.667,full-size,convertible,blue,10500
0.253521,volkswagen,m-beetle,,'4cylinders',gas,0.0001,1,manual,0.667,compact,convertible,purple,11500
0.253521,volkswagen,m-bug,0.4,'4 cylinders',gas,0.0001,1,manual,0.667,compact,coupe,green,14900
0.253521,chevrolet,m-c10,0.4,'8 cylinders',gas,0.009027,1,automatic,0.333,full-size,pickup,green,14950
0.253521,mercury,'m-cougar xr7',0.6,'8 cylinders',gas,0.0021,1,automatic,0.667,mid-size,coupe,blue,16000
0.253521,buick,'m-skylark convertible',0.4,'8 cylinders',gas,0.0047,1,automatic,0.667,full-size,convertible,white,17000
0.253521,chevrolet,m-c10,,'8cylinders',gas,0.002,1,manual,0.667,full-size,pickup,custom,18000
0.253521,chevrolet,'m-el camino',0.4,'8 cylinders',gas,0.0025,1,automatic,0.667,mid-size,pickup,white,24975
0.253521,chevrolet,m-camaro,0.4,'8 cylinders',gas,0.008,1,automatic,0.667,full-size,coupe,black,28000
0.253521,buick,'m-gs 400',0.6,'8 cylinders',gas,0.011733,1,automatic,0.667,full-size,convertible,blue,34975
0.253521,chevrolet,m-chevelle,0.6,'8 cylinders',gas,0.0008,1,automatic,0.333,full-size,coupe,green,35000
0.253521,ford,'m-mustang fastback',0.6,'8 cylinders',gas,0.0093,1,manual,0.333,mid-size,other,red,36000
