year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.267606,chevrolet,corvette,good,8,gas,0.006786,clean,automatic,rwd,full-size,coupe,red,21000
0.267606,mercury,cougar,excellent,8,gas,0.00077,clean,automatic,rwd,mid-size,coupe,blue,24000
0.267606,chevrolet,s10 pickup',excellent,6,gas,0.004257,clean,automatic,4wd,full-size,pickup,white,30000
0.267606,chevrolet,el camino',new,8,gas,0.0,clean,automatic,rwd,full-size,pickup,orange,65000
0.28169,chrysler,hurst,fair,8,gas,0.01,missing,automatic,rwd,full-size,coupe,white,2500
0.28169,chevrolet,monte carlo',fair,8,gas,0.006251,missing,automatic,rwd,full-size,coupe,green,2900
0.28169,ford,f250,good,8,gas,0.0027,clean,automatic,rwd,full-size,pickup,green,5500
0.28169,chevrolet,caprice,fair,8,gas,0.01,clean,automatic,rwd,full-size,coupe,green,6000
0.28169,ford,xl convertible',good,8,gas,0.0033,clean,automatic,rwd,full-size,convertible,white,6900
0.28169,chevrolet,chevelle,fair,8,gas,1.0,'parts only',automatic,rwd,full-size,coupe,red,7500
0.28169,pontiac,catalina 400',excellent,8,gas,0.0054,clean,automatic,rwd,full-size,coupe,white,7900
0.28169,jeep,cj5,excellent,8,gas,0.001,missing,manual,4wd,compact,offroad,red,11900
0.28169,chevrolet,c20,good,8,gas,0.0088,clean,automatic,rwd,full-size,pickup,custom,14900
0.28169,buick,skylark custom',excellent,8,gas,0.01135,clean,automatic,rwd,full-size,convertible,white,14900
0.28169,volvo,p1800e,good,4,gas,0.008065,clean,manual,rwd,compact,coupe,green,15500
0.28169,chevrolet,monte carlo',good,8,gas,0.005742,clean,automatic,rwd,full-size,sedan,green,17500
0.28169,ford,mustang,good,8,gas,0.0024,clean,automatic,rwd,sub-compact,coupe,blue,18000
0.28169,volkswagen,ghia,excellent,4,gas,0.0084,clean,manual,rwd,compact,coupe,blue,20000
0.28169,chevrolet,el camino',excellent,8,gas,0.0084,clean,automatic,rwd,full-size,pickup,blue,24000
0.28169,dodge,dart gt',excellent,8,gas,0.006093,clean,automatic,rwd,mid-size,sedan,custom,26000
0.28169,chevrolet,camaro,excellent,8,gas,0.0005,clean,automatic,rwd,mid-size,coupe,white,28500
0.28169,gmc,sierra grande 1500 long bed',good,8,gas,0.00797,clean,automatic,rwd,full-size,pickup,orange,29500
0.28169,dodge,superbee,good,8,gas,0.0032,clean,automatic,rwd,full-size,coupe,purple,45000
0.28169,ford,mustang,excellent,8,gas,0.00069,clean,automatic,rwd,mid-size,coupe,red,49500
0.28169,chevrolet,nova yenko deuce',excellent,8,gas,0.0027,clean,manual,rwd,mid-size,coupe,green,98500
0.295775,volkswagen,super beetle',fair,4,gas,0.000604,missing,automatic,rwd,compact,hatchback,blue,3000
0.295775,chevrolet,el camino',good,6,gas,0.0071,clean,automatic,rwd,full-size,pickup,white,3500
0.295775,toyota,land cruiser fj40',fair,6,gas,0.0,clean,manual,4wd,full-size,SUV,white,5000
0.295775,ford,ltd,good,8,gas,0.0096,clean,automatic,rwd,full-size,convertible,blue,5500
0.295775,buick,riviera,fair,8,gas,0.012346,clean,automatic,rwd,full-size,coupe,black,5700
0.295775,volkswagen,beetle,good,4,gas,0.0053,clean,manual,rwd,compact,coupe,blue,5900
0.295775,volkswagen,bus,good,4,gas,0.002,clean,manual,rwd,full-size,mini-van,green,6500
0.295775,ford,f250,excellent,8,gas,0.0087,clean,manual,rwd,full-size,pickup,white,7250
0.295775,ford,f250,excellent,8,gas,0.0087,clean,manual,rwd,full-size,pickup,white,7250
0.295775,ford,mustang,good,8,gas,0.0026,clean,automatic,rwd,full-size,coupe,brown,9000
0.295775,lincoln,mark iii',excellent,8,gas,0.007718,clean,automatic,rwd,full-size,coupe,yellow,9500
0.295775,mercury,comet gt',good,8,gas,0.01,clean,automatic,rwd,compact,coupe,red,10500
0.295775,lincoln,mercury comet','like new',6,gas,0.006871,clean,automatic,rwd,full-size,coupe,white,11900
0.295775,dodge,d-200,good,8,gas,0.003,clean,automatic,rwd,full-size,pickup,red,12900
0.295775,pontiac,grand prix',excellent,8,gas,0.0033,clean,automatic,rwd,full-size,coupe,green,15000
0.295775,gmc,1500 sierra',excellent,8,gas,0.0089,clean,automatic,rwd,full-size,pickup,green,15000
0.295775,ford,mustang mach 1',good,8,gas,0.011164,clean,automatic,rwd,full-size,coupe,blue,16500
0.295775,datsun,240z,excellent,6,gas,0.013,clean,manual,rwd,compact,hatchback,black,18500
0.295775,chevrolet,c10,good,8,gas,0.0003,clean,automatic,rwd,full-size,pickup,black,19500
0.295775,mercury,cougar xr7',excellent,8,gas,0.0018,clean,automatic,fwd,full-size,sedan,blue,20000
0.295775,mercury,cougar xr7',excellent,8,gas,0.0018,clean,automatic,fwd,full-size,convertible,blue,20000
0.295775,ford,mustang mach 1',good,8,gas,0.009,clean,manual,rwd,full-size,coupe,blue,21000
0.295775,volvo,1800e,excellent,4,gas,0.009,missing,manual,rwd,compact,coupe,silver,24000
0.295775,chevrolet,cheyenne c10',excellent,8,gas,0.0045,clean,automatic,rwd,full-size,pickup,green,27900
0.295775,volkswagen,mg tc',excellent,4,gas,0.00074,clean,manual,fwd,mid-size,convertible,white,28500
0.295775,chevrolet,chevelle ss',excellent,8,gas,0.0018,clean,automatic,rwd,full-size,coupe,green,29975
